공원명,리뷰,사진
용마폭포공원,7호선타고 역 근처를 여행하던길에 만난 용마폭포공원은 인공폭포로 한여름인데도 시원함을 느낄 수 있었다. 내친김에 정상 전망대까지 가보았는데 서울전경이 보여서 멋찌긴 한데 준비없이 가서 너무 힘들었다. 내려오는 길은 중곡역쪽으로 방향을 잡아 내려왔는데 멋찐곳이였다.,"https://lh3.googleusercontent.com/geougc-cs/AMG9lERJw7Iq2SiVlkLx2h9N-LEmP-ra2nYKy5K0Rgc1hwI-om1O6ong4pGsIrEAYkgcO1KOM0Ey3M-6zIxaZ65hBXWhYK_41tbHbZ2DNmjohRjvK-G3t1o1yzcfXhF7CKAh0cfe4UPDKT7bAZ8Y=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lET3GBjzXTiALPAQdRsojSYeSer9mjqF07VdDijTxRcPeC0tdkITC_AUZIgU4FGI5IrmANDNkJY2duQIVDvB25mbVF6pTt9CU7fdEzaiFBhPoviCs4DEUjhNkL7_PKBoJdmsTNQHhK8LNnO-=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lER_p4KHNLz1g1EAVpHENF68vJJgqJyn4nPMlwFj0Y5VM3yy0OygfJc0VS8iFrHiKAlMyr41rvE5iqc4GNVRhpPV2tL4Aw7hhBqRiA9-sJoDIf2izKL-vw6Biv_wdVrlbcoiUaMiCd0GNDmI=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lEQZuGkf2sLl2J0Xpr_QB2tw7dB9kyii8HPqi-TEISWO82AbZ2ytPePiw28DZg4gQU67NxS_LgfHo-qEcQZgkEPWV1SXHxpau88hm-fRUzPsWoHRGXTvFrELgpGgJK6pzCeCoCl9TdYK7aml=w300-h225-p"
용마폭포공원,"용마산 전망대로 계단을 올라가는길이 많이 힘들지않습니다. 단풍이 물드는 가을에 오면 멀리까지 한눈에 펼쳐지는 서울시내와
어우려져 멋지네요.","https://lh3.googleusercontent.com/geougc-cs/AMG9lEQ8EMQRretOAy8OvKYd9RrAybowHhjj3Wbwmn2TWoNwjEm8C3-E4il1AgISTU4qX46OTEeACNVwkbNEXv1zusQrKMgmkKCd9lRk4pEDBOhijSjfW2hdiMnoHE4rvtgm3q0ZhJBq2c-ISA5Y=w300-h450-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lER0AlXn7N8hSOUJW5vJ49x5Jc1-jurLRUNNg5dLyZ8IPlwNOGfkwzVTwEXi_t7U32e7wNY4MSOspASiXgmJ5sLkQL0_7C47ROAXUGONsyEuVoxpF2tJU4v01qhgX--Ym1QIQnDpTCygvoGi=w300-h450-p"
용마폭포공원,"눈 덮인 산기슭의 모습이 참 인상적이었다. 단풍이 남아있는데 눈에 덮여있고, 산 기슭에 눈이 높이와 어우러져 참 멋진 모습이었다. 서울시내에 이런 멋진공간이 있다는것에 감사. 봄지나고 폭포운영하면 다시 찾아보고싶은 마음.  주말에는 사람과 차가 많이 붐빌듯.","https://lh3.googleusercontent.com/geougc-cs/AMG9lESZUB4IhntqQy9znlxd2mimdnvFz2i1DHpipqdYae3FuUhj7N86naX2D6bVc5SJO61bwK968YSUUc26Ur_x0TUN_c7Yd0IKkvn8cAPn9ZLKIrgSEGDydCQavBbVP4IlcQ1pbzk=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lEQC5KpHXzAXwAIKduf_0uokbxUxr7gfpUPBGmnouV7A1Kh2K5nlB1vm8i9aw7da8xR1L7ks4NbGeTBK5MbfEz4DH4tmnj1Ti3bn0B5zY0IhZK1FW7tWwDDKwMIBM12JGei7o1RB=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lEQa8c63MixTPE6cZDWzPjXSVyV8KqEwVAbLy0OpotFPgLmiRiCuCbyx9-rsT_RqW7SwhFzbMztMMp8v5vDnxqsIUCPp88T-SkFthrC6qoFzjjmYyXH7MePjvozdsDzy-q6CyAJE=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lEQb7rytHmEbo5h-cflR-9je-YBQVKbi4oeev98GeFFGXcfuFJeS1Xt35fDZM_om4Sjy_H76o7RfVIc2NUDIeoE4bq1sf_uroegRtM4vHYm0N42c2pSbVwe0zXmH8UAd-Xrs-LZr=w300-h225-p"
용마폭포공원,"자연스러운 <홍제천 인공폭포>와 비교하면, 대놓고 ""나는 인공폭포다""를 말해주는 것 같은 폭포 디자인 이고, 운영시간도 한정되어 있어서, 멀리서 방문하신 분들은 약간 허무함을 느낄 수도 있습니다.…","https://lh3.googleusercontent.com/geougc-cs/AMG9lEQuOputwB0FfJ0tD69GeLHD1bmnbh-2Uzz8dDEA_Rh-TIAxpVKLy6uEIx2fw774zq1PTHzvzsHOb9Y7Xgytsq2iMnoH0rJjOjh-pTBzZJEcmDwEw83XUPlaTOuOBQdHvcVix9dQ=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lEStU-yRqn6l-M6-q6DWtFIuYPMOXZZNRY5TH1GBC6BDdbq8Bgil1WY7J0QmZe295Z96i7lTSscIniRkqj_fcz-JBg_FQBWjPm4b2wt8btHPwQXgtzdwrkN1cb10e9iW6K4ooZHj=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lETIFWxtDce5O8SKBLv6X4xMGJKbAIi626_2b7kcICGpwe_hUyUZ1tCEINsc6VXHL_l7TIb4l5UjENdcGLhLLmJhN4PwnzWt956UDuB6rFwbpdpFytRnikeu-P_EB5uU4-SWlAvUfw=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lESAaIoKu5r25Iv4Hpf18jlleM0WzPmA9aSnMd_9E_kYQUOgsVHDT5AWaXQ52LmXg0hj_HKVOpLs4nOCntlJanQ-U0WQG0B7Kctr4lG52ad1s-C_l-lNLGyl0MzfXjeZbru0mkg=w300-h225-p"
용마폭포공원,폭포말고는 크게 볼건 없는 것같구 녹지 공간이 있어서 쉴 수 있는 공간이 있네요 주민들 운동하기도 축구장과 테니스장이 있어서 테두리 산책하기 좋아요,"https://lh3.googleusercontent.com/geougc-cs/AMG9lERk1BgNqAJ7vGPF5flHyWAoTGBYGk_Z0D6tKrxe9b9JEGWOLKHM_SJGstojuWa9ujt8DuxZ-tFI0oAQWf4R52NvpIRIIRygHpusqxETcXJapL_LNMRa04cKfcShdQ0StcXm_J_R=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lEQE26CxiKQGIPrddOEOUYFD2QTkdiWU5yZeeA503IFkKtoRznysKCytO4DvaB9MwW64m4MicsSYTkcXhgEcQj1iWyPqxINQndQH4y8jBk2TihWRrKAyN644SHgLew5L_MBzNlu4Wg=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lEQM8jXbRXIAQk1f6Q27CZjk_fVVMqB2fx_-ijqYihU26lJfZyrctvHdTSN3_5jfPZqPPbUI8VFg9ar4byfKJYE-UzPi19gMabu6Gd5J8lWgO71EDE4GqzzwPzFnfyeXag0OPebV=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lEShEpfUOpSFLadMah2ipHjycwiKRkRscBu3v6u1rW5IondZwtBufwAmqtFjCnRUUy1h4S8w0Lq37KMYuB0yNJr5VihmFLt8StWDoQrrRQZwLUyvkXrEthETBne83NxUaOd6pLzY5U-b6hsr=w300-h225-p"
용마폭포공원,"공원에 폭포공원도있고, 5월부터 운영!, 클라이밍하는곳이랑 축구장, 트랙등등이 있어요! 폭포나오는순간가면, 인공폭포지만 멋짐","https://lh3.googleusercontent.com/geougc-cs/AMG9lERAMfP-vOERIjtmL71nlE39WUhpAgk8L8jdefjcFlSxIUXkjSgEBf4p7Xa74SAZ-_JdyKtiQrHpdovQpYlAVGMbugHAgTq96y6O1cD1ZrLkDS15O0KJa90vqmuAAWMGuO99daMOBg=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lES5MCi4aZjxvmxWogtt1wTNr9fvdU4eUHtb2BgvTy7gjKNW1KfCmXZsrAPfHo4GLL30TlMzTXRcb8jMHt6vHOHm_wtTKmjaVS0Y5xOfgQCa4r3i62niLiMlGDrbipWJ1QUZ7IiF=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lERunGpgnsLsQxQyYIgXWqMDFm-dKZyiQ-H94du1dgwuQYvGfZZEqZdYHo0I4WzvdUUSoJej1RDI3y3mtTTjx0uu_pIdyrGkNtyXD3rPK6r7suSpgdohdk2mszy9UJxO4gqfE4sC=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lETEVp_x78jU4Jaqc4Rs4hpycKflWc2_O01IUxoSPhSUzBRkhE1zcMl190H0GAnTQvaqIOqwC3aSbdY67zZvsWdDMLy45Tm1y9-PvfgURv0dBA4UtN6CtU1YTSWD4uNhqJsHyBjq=w300-h225-p"
용마폭포공원,용마폭포공원은 언제나 아름답습니다. 등산을 통해 아차산까지 갈 수 있어요.,"https://lh3.googleusercontent.com/geougc-cs/AMG9lESezLPcqeONRkUcWI0BLNo_biGeQ5CNKzb_Xj4AQ_-9LTGjZFZFvWr6_5t-V_5hoVJk60COVQSYL-XXE07rotJy4L8nLVwmrIWVYybHlbT_5Jq4y5o56agzO1h4f-IqElH2r6MTFn3RPZam=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lESy99NdNqKl65Vm6HnTzT6s1p3A153XcND918bOkB_yU5wfHu8ugdyH3nZcG7BJgLYqzOwoD_-FTlJI8O7gKmvEfnAb_NAYbyRyQOYPWUO65iN1JettbdxaNGFnLc1SYOOiwj1w6KDvW1pa=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lEQa3VJHIEjt1Ii1abFKBJaHs66h2lFFl0VJXtkfOu4ovcz_WBxEj0i7jv3iGaoRKHnRy6STds9CHV9x5WhoAXu3qivXBjL3S3ynZyboj5Qgy9CAMUProymcfXbaGcK8Cz4p_HnOLypP7Wy8=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lERcipNpJDvOYEaFhCU6foaDpFAQtb6U30ZVNwiP6GokRv_G_I_5Zle9cW9076t-5GRCUXw1r9xrWoZbNKMAQgUR8WhdlcIUjMe91DS0pHzekQ5MkS_7BuJuOT24UQlZHt_E6eeTrU8dLOb7=w300-h225-p"
용마폭포공원,"모기가
많지만 산책하기 너무 좋은 곳
반려견 놀이터도 따로 있어서 강아지 산책하기도 좋았다…","https://lh3.googleusercontent.com/geougc-cs/AMG9lER-rf0KxVCZ4qywGjr_RMbESDK0p8oMxiA3DoQU5-5df7vzG-r6LEaUnvpTwGYyUHZQ_IrG4QyV6ROP_QW3GaDlA2Iyq7TBqkpQSNyRZacBOu2KM58OmC81WLs-OXdb78L-BU55LEShCkEd=w300-h450-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lES-198Oma6tHKiVHRhCxMQhEqdHYaB3bDY-1mNZwRB798bwUG8MSCXDUMgXX9cjlmmVfOvfTc0dUopG3S_6hcM1kj35W7cCzyxbPXYbWoQVTvEshE_yF-tRhPGOku0mGLhyPrc5-XTmJIUE=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lESXIGGKKhuvP3Tym0RfVt3qUAANDm9gJUIhamRzVCA3UwCRVfOib2NhUwsI-tuO71i9UViCmLJtH1OZumm3b5NOunhg2IlOneiXbd0_1yxm7czxumrS5-LoKtsD_GoUBsCcAWHriRPNlYWI=w300-h225-p"
용마폭포공원,"도심속 폭포.. 이것 하나만으로도 명불허전
매점도 있고.. 그늘도 많고..벤치도 곳곳에 배치되있어.. 여름날 쉬어가기 너무좋습니다^^ 용마산역에서도 가깝고.. 공원 곳곳에 휴지통(요즘 보기힘든유물)이 있어 주변환경도 깨끗히 관리 된  느낌.. 상당히 크고 높은 클라이밍장도 있으니.. 암벽취미 이신분들도 이용하시기 바래여~^^","https://lh3.googleusercontent.com/geougc-cs/AMG9lETwq64gvueta6si11fED19Itulu5o5jnIhdMfsNE9ixOY-3eHS-DdNdZFROaxExxq8ZD5ILKG3AKnj5Ru566XhwUmVHiPD16rmkdGDl48p9Eio0jI9xN8t3-3h988N8D_gQHjAT=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lEQI-mXwTaNnOrk7fjo0UowkxxC04fpDXcl9KNHfyhZCkTGPpKPocxDc6c4QqWSDoWsOJE-PI-IRU-3Q_Fgmz7ImAYbyW4IwW2_uoq0RO7WHvC_2W7myR4tppmEU74Gos5LPlQOS8A=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lESqw5fHdbcm5gX1My7lnCcRoyrP9pF5XjfMRhChMDqhXL0U8awE0pe3cCsu_cLix9JvqGV9LLhYYt_W9D582HD2d96UGe-tf-lFinr9PXpXVKyUz-ec6fzaq31Ial88IjNjP-OB=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lETK8rM8DMm9g7bViunZzZWlLVn_6HIkaVqDfWE984SIabrKSr-iv3imnr4fLCdau5g86U6aa6KDEqggWesjESPn7XBmITZ9NVL7WXh-I7eoUxy-SIQ0qo_IRkCUQv-kkOugYKuAXA=w300-h225-p"
용마폭포공원,"서울 살면서도 처음 가본 용마산 공원입니다.
폭포가 계속 떨어지는 줄 알았는데.. 시간이 있네요.
정말 잘 관리되고 등산하기 좋은 코스입니다.","https://lh3.googleusercontent.com/geougc-cs/AMG9lEQA-AGMw2TAmC-dv03nLsLFLBr0EpzXttqassNsOjyRgWZgcmFSBhaa3ywcJpMG7rn36K2bGGMpJAuUb7-vIFBGs69y26Qq0VcrZAmbpbQOqMVqo4eZ2asoL-ApDwXUjbsIMYI=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lEREUThpyxPOWqYzpW-yvw4rit0YowHJ9TE5dGPMJ1wOiNPsu6Ma_PGpb0faNyXvtSQi5ikJ-9ZSa2-ZKcfaLlU3mKz53f3D_x9GrRRyK59RCf-ml9t9XSygGq7nJHfJ8LdnQJn9Mw=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lESWUx4kE8qn4Jr-PoButaytab705CSUVb7A8TttUG-CjC-Ax67cyTAWwc890gzZJ_B_FyG56-ZvDzK0Uhewy4hbP7n9MYO3Ch8QTHFp8Fv8miktZCGWeidU2Dqw9nWkmM-y6ZVi=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lETq8XS0ZzPQw_35B2uSiQrBSw6-nnM1psz-9OYq4wE1swq4YJownZw1vshkRqucUpp9UIHew5zsyNOWaH6HmULdvjy9llZjhShZruV9IWo0C51ANsubUhBMevRuJl7xZCIfSYrImg=w300-h225-p"
